delivery_date,hour_ending,delivery_datetime,delivery_datetime_utc,dst_flag,load_forecast_issue_time,wind_forecast_issue_time,solar_forecast_issue_time,load_issue_date,wind_issue_date,solar_issue_date,load_source_product_id,wind_source_product_id,solar_source_product_id,load_coast_mw,load_east_mw,load_far_west_mw,load_north_mw,load_north_central_mw,load_south_central_mw,load_southern_mw,load_west_mw,load_system_total_mw,wind_stwpf_lz_north_mw,wind_stwpf_lz_south_houston_mw,wind_stwpf_lz_west_mw,wind_stwpf_system_wide_mw,wind_wgrpp_lz_north_mw,wind_wgrpp_lz_south_houston_mw,wind_wgrpp_lz_west_mw,wind_wgrpp_system_wide_mw,solar_pvgrpp_system_mw,solar_stppf_system_mw,has_load_forecast,has_wind_forecast,has_solar_forecast,has_all_three_forecasts,load_pre_dam_valid,wind_pre_dam_valid,solar_pre_dam_valid,all_issue_times_pre_dam_valid
2025-02-28,1:00,2025-02-28T01:00:00-06:00,2025-02-28T07:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,10201.7002,1507.5699,7001.9399,1580.05,10160.5996,6153.6602,3152.22,1093.08,40850.8198,391.9,1674.0,5613.8,7679.7,281.4,1369.3,4843.7,6494.4,0.0,0.0,True,True,True,True,True,True,True,True
2025-02-28,2:00,2025-02-28T02:00:00-06:00,2025-02-28T08:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,9932.96,1542.95,6920.2798,1604.8101,9831.9805,5931.7998,3001.1499,1076.8,39842.7301,428.4,1779.7,6236.3,8444.4,310.8,1450.2,5398.6,7159.6,0.0,0.0,True,True,True,True,True,True,True,True
2025-02-28,3:00,2025-02-28T03:00:00-06:00,2025-02-28T09:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,9829.04,1557.78,6820.3301,1586.5,9699.8896,5833.2998,2899.23,1051.9301,39277.9996,483.2,1821.8,7000.6,9305.6,362.4,1465.5,6096.7,7924.6,0.0,0.0,True,True,True,True,True,True,True,True
2025-02-28,4:00,2025-02-28T04:00:00-06:00,2025-02-28T10:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,9842.9404,1540.8,6790.27,1573.51,9831.1797,5821.29,2862.21,1063.79,39325.9901,550.4,1714.0,7782.6,10047.0,427.7,1334.2,6819.2,8581.1,0.0,0.0,True,True,True,True,True,True,True,True
2025-02-28,5:00,2025-02-28T05:00:00-06:00,2025-02-28T11:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,10110.9004,1576.29,6694.79,1585.3101,10271.5,6005.8501,2908.1399,1069.61,40222.3905,623.9,1555.4,8446.3,10625.6,499.4,1157.2,7436.0,9092.6,0.0,0.0,True,True,True,True,True,True,True,True
2025-02-28,6:00,2025-02-28T06:00:00-06:00,2025-02-28T12:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,10883.5996,1657.04,6646.6099,1641.3,11224.2002,6493.04,3081.28,1176.0699,42803.1396,712.0,1420.8,8969.1,11101.9,582.4,1011.2,7921.1,9514.7,0.0,0.0,True,True,True,True,True,True,True,True
2025-02-28,7:00,2025-02-28T07:00:00-06:00,2025-02-28T13:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,11948.2002,1743.21,6723.7798,1735.59,12703.7002,7350.27,3452.6699,1302.89,46960.3101,809.0,1268.0,9355.4,11432.4,671.9,846.0,8271.9,9789.8,3.4,6.0,True,True,True,True,True,True,True,True
2025-02-28,8:00,2025-02-28T08:00:00-06:00,2025-02-28T14:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,12411.7002,1772.7,6720.5801,1758.7,13437.7002,7789.6201,3601.48,1388.15,48880.6306,901.3,1064.3,9616.9,11582.5,756.6,641.9,8500.5,9899.0,1804.6,2400.3,True,True,True,True,True,True,True,True
2025-02-28,9:00,2025-02-28T09:00:00-06:00,2025-02-28T15:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,12591.9004,1685.26,7164.54,1798.4301,13193.2998,7722.8398,3526.6299,1406.13,49089.03,912.7,680.4,9243.7,10836.8,765.1,312.7,8105.3,9183.1,11406.2,14218.6,True,True,True,True,True,True,True,True
2025-02-28,10:00,2025-02-28T10:00:00-06:00,2025-02-28T16:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,12673.5,1595.02,7554.54,1791.89,12613.7998,7522.5298,3550.1699,1429.13,48730.5795,744.8,370.9,7786.7,8902.4,601.6,134.1,6686.1,7421.8,17759.1,21262.3,True,True,True,True,True,True,True,True
2025-02-28,11:00,2025-02-28T11:00:00-06:00,2025-02-28T17:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,12668.7002,1534.5,7663.98,1752.9399,12025.4004,7337.48,3598.79,1375.65,47957.4405,619.0,344.2,7547.5,8510.7,468.2,143.3,6449.3,7060.8,18980.9,22967.3,True,True,True,True,True,True,True,True
2025-02-28,12:00,2025-02-28T12:00:00-06:00,2025-02-28T18:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,12656.2002,1438.64,7667.48,1707.55,11521.0996,7211.5298,3603.6001,1293.4399,47099.5396,611.0,364.7,8677.6,9653.3,438.6,167.8,7457.7,8064.1,19512.2,23450.8,True,True,True,True,True,True,True,True
2025-02-28,13:00,2025-02-28T13:00:00-06:00,2025-02-28T19:00:00+00:00,N,2025-02-27T09:30:00-06:00,2025-02-27T09:55:09-06:00,2025-02-27T09:55:08-06:00,2025-02-27,2025-02-27,2025-02-27,NP3-561-CD,NP4-732-CD,NP4-737-CD,12656.0996,1388.65,7701.9199,1656.97,11142.9004,7128.8701,3626.47,1262.5,46564.38,527.9,373.2,8475.7,9376.8,359.8,171.6,7275.2,7806.6,19620.3,23129.1,True,True,True,True,True,True,True,True
